                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.8253,                 1.1839,                 2.1271,                0.88466,                0.92523,                0.96198,                0.50256,                 1.6463,                  1.161,                  2.192,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.8647,                 1.1927,                 2.2092,                0.89083,                0.92523,                0.96088,                0.51931,                 1.5927,                  1.128,                 2.1477,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.9214,                 1.2332,                 2.2616,                 0.9028,                 0.8785,                0.94715,                0.49611,                 1.6242,                 1.1872,                 2.1672,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.8526,                  1.233,                 2.1808,                0.89251,                 0.8972,                0.93425,                0.51078,                 1.5942,                 1.1771,                 2.1364,               0.000713,               0.000713,               0.000713
                     68,                 1.7627,                 1.1916,                 2.0967,                0.87427,                0.88785,                0.94257,                0.44073,                 1.7853,                 1.3513,                 2.3098,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.7918,                 1.2207,                 2.1226,                0.86878,                0.92813,                0.94784,                0.43785,                 1.7646,                 1.4687,                  2.293,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.6961,                 1.1657,                 2.0637,                0.87333,                0.88785,                0.95622,                0.54439,                 1.5381,                 1.5375,                 2.1149,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.6396,                  1.234,                  2.037,                  0.856,                0.94444,                0.96206,                0.52553,                 1.6047,                 1.4282,                 2.1597,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.7671,                 1.2895,                 2.1409,                0.86255,                0.93838,                0.96245,                 0.5213,                 1.6471,                 1.2425,                  2.171,               0.000614,               0.000614,               0.000614
                     73,                 1.7632,                 1.2464,                  2.136,                0.87347,                0.90323,                0.95077,                0.52478,                 1.6239,                 1.2057,                 2.1479,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.6948,                 1.2354,                 2.0893,                0.91454,                0.90011,                0.95467,                0.52231,                 1.5844,                 1.2088,                 2.1094,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.7024,                 1.1743,                  2.037,                0.87527,                0.91818,                0.96541,                0.53041,                 1.5743,                 1.1595,                 2.1116,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.7878,                 1.1653,                 2.1238,                0.92582,                0.93309,                0.97022,                0.52131,                 1.6108,                 1.1478,                  2.172,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.6659,                  1.085,                 2.0541,                0.92115,                0.91589,                0.96249,                0.50538,                 1.6331,                 1.1783,                 2.2137,               0.000515,               0.000515,               0.000515
                     78,                 1.6634,                 1.0928,                 2.0809,                0.91582,                0.91509,                0.95782,                0.52907,                 1.5993,                 1.1102,                 2.2248,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.7167,                  1.056,                 2.0769,                0.91976,                0.94393,                0.96947,                 0.5477,                 1.5332,                 1.0661,                 2.1666,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.8045,                 1.0931,                 2.1483,                0.88599,                0.94412,                0.96942,                0.53652,                 1.5662,                 1.0783,                 2.1611,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.7313,                 1.0434,                 2.0848,                0.89547,                0.96075,                0.96883,                0.54757,                 1.5253,                 1.0674,                 2.1257,              0.0004358,              0.0004358,              0.0004358
                     82,                  1.662,                  1.101,                 2.0475,                0.88472,                0.93244,                0.97187,                0.55022,                 1.5486,                 1.0764,                 2.1397,               0.000416,               0.000416,               0.000416
                     83,                 1.7094,                 1.0632,                 2.0838,                0.89475,                0.96262,                0.97163,                0.56416,                 1.4856,                 1.0363,                 2.0602,              0.0003962,              0.0003962,              0.0003962
                     84,                   1.57,                0.99474,                 1.9509,                0.88634,                0.94745,                0.97187,                0.56577,                 1.5291,                 1.0425,                 2.0862,              0.0003764,              0.0003764,              0.0003764
                     85,                  1.627,                 1.0435,                 1.9862,                0.89649,                0.95327,                0.97224,                 0.5568,                 1.5915,                 1.0759,                 2.1375,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.6372,                 1.0511,                 2.0338,                0.89092,                0.94393,                  0.971,                0.53984,                 1.6035,                 1.0685,                  2.153,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.5688,                 1.0293,                 1.9931,                0.93444,                0.93252,                0.97611,                0.56604,                 1.5392,                 1.0305,                 2.0918,               0.000317,               0.000317,               0.000317
                     88,                 1.6732,                 1.0802,                 2.0626,                0.86952,                0.96262,                0.97711,                0.57017,                 1.5192,                 1.0412,                 2.0787,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.7009,                 1.0637,                  2.043,                0.86374,                0.96262,                0.97252,                 0.5777,                 1.4897,                  1.059,                 2.0478,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.6507,                 1.1685,                 2.0806,                0.91567,                0.91329,                0.97662,                0.59357,                 1.4327,                  1.085,                 1.9745,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.4654,                 1.1307,                 2.0033,                0.93322,                0.91589,                0.98213,                 0.5563,                 1.4625,                 1.1378,                 1.9895,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.5731,                 1.1796,                 2.0606,                0.87198,                0.95489,                0.97399,                0.49806,                 1.5729,                 1.2126,                 2.0737,               0.000218,               0.000218,               0.000218
                     93,                 1.4835,                 1.0666,                 1.9354,                0.91018,                0.95327,                0.97868,                0.50688,                 1.5697,                 1.1759,                 2.0725,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.5159,                 1.0786,                 1.9698,                 0.9411,                0.94393,                0.98668,                0.58567,                 1.4666,                 1.0681,                 2.0017,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.4753,                 1.0961,                 1.9863,                0.92936,                0.98365,                0.98796,                 0.6037,                 1.4265,                0.97912,                 1.9887,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.5054,                 1.0722,                 2.0042,                0.93513,                0.98131,                0.98723,                0.60441,                 1.4232,                0.97028,                 1.9872,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.4808,                 1.0423,                  2.019,                 0.9529,                0.99065,                0.98837,                0.61034,                 1.4169,                0.96373,                 1.9784,               0.000119,               0.000119,               0.000119
                     98,                 1.4879,                 1.0367,                 1.9761,                0.94624,                0.98694,                0.98734,                0.60402,                 1.4212,                0.96282,                 1.9875,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.5202,                 1.0137,                 1.9997,                0.92151,                0.98758,                0.98349,                0.59841,                 1.4375,                 0.9696,                 2.0079,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.4735,                 1.0229,                 1.9038,                0.91286,                0.97904,                0.98201,                0.59224,                 1.4327,                0.97411,                 2.0061,               5.96e-05,               5.96e-05,               5.96e-05
