News,Date,market_compound,sentiment_encoded,Open,High,Low,Close,Adj Close,Volume
The phonemaker’s stellar run contrasts with unloved resources stocks,2019-12-11,-0.4404,-1,67.20249938964844,67.7750015258789,67.125,67.69249725341797,65.94818878173828,78756800
"Selling more expensive versions of recent products is a popular, and successful, strategy",2019-12-12,0.765,1,66.94499969482422,68.13999938964844,66.83000183105469,67.86499786376953,66.11626434326172,137310400
"He’ll never lose a single AirPod again. He might lose them both, though.",2019-12-13,0.5448,1,67.86499786376953,68.82499694824219,67.73249816894531,68.7874984741211,67.01498413085938,133587600
"He’ll never lose a single AirPod again. He might lose them both, though.",2019-12-14,0.5448,1,69.25,70.19750213623047,69.24500274658203,69.96499633789062,68.16214752197266,128186000
"He’ll never lose a single AirPod again. He might lose them both, though.",2019-12-15,0.5448,1,69.25,70.19750213623047,69.24500274658203,69.96499633789062,68.16214752197266,128186000
Company fails to block resolution as activists criticise response to Hong Kong protests,2019-12-16,-0.8591,-1,69.25,70.19750213623047,69.24500274658203,69.96499633789062,68.16214752197266,128186000
Mexico says it did not agree to provisions included in USMCA bill before the US Congress,2019-12-17,-0.2755,-1,69.89250183105469,70.44249725341797,69.69999694824219,70.10250091552734,68.29609680175781,114158400
"Apple, Google and Tesla flout their own policies in sourcing material, says human rights group",2019-12-18,0.0,0,69.94999694824219,70.4749984741211,69.77999877929688,69.93499755859375,68.1329116821289,116028400
"Apple, Google and Tesla flout their own policies in sourcing material, says human rights group",2019-12-19,0.0,0,69.875,70.29499816894531,69.73750305175781,70.00499725341797,68.20111083984375,98369200
"Apple, Google and Tesla flout their own policies in sourcing material, says human rights group",2019-12-20,0.0,0,70.55750274658203,70.6624984741211,69.63999938964844,69.86000061035156,68.05985260009766,275978000
"Apple, Google and Tesla flout their own policies in sourcing material, says human rights group",2019-12-21,0.0,0,70.13249969482422,71.0625,70.09249877929688,71.0,69.17048645019531,98572000
"Apple, Google and Tesla flout their own policies in sourcing material, says human rights group",2019-12-22,0.0,0,70.13249969482422,71.0625,70.09249877929688,71.0,69.17048645019531,98572000
‘Project Connected Home’ to build secure compatible home gadgets,2019-12-23,0.34,1,70.13249969482422,71.0625,70.09249877929688,71.0,69.17048645019531,98572000
‘Project Connected Home’ to build secure compatible home gadgets,2019-12-24,0.34,1,71.17250061035156,71.22250366210938,70.7300033569336,71.06749725341797,69.2362289428711,48478800
‘Project Connected Home’ to build secure compatible home gadgets,2019-12-25,0.34,1,71.20500183105469,72.49500274658203,71.17500305175781,72.47750091552734,70.60990905761719,93121200
‘Project Connected Home’ to build secure compatible home gadgets,2019-12-26,0.34,1,71.20500183105469,72.49500274658203,71.17500305175781,72.47750091552734,70.60990905761719,93121200
‘Project Connected Home’ to build secure compatible home gadgets,2019-12-27,0.34,1,72.77999877929688,73.49250030517578,72.02999877929688,72.44999694824219,70.58311462402344,146266000
‘Project Connected Home’ to build secure compatible home gadgets,2019-12-28,0.34,1,72.36499786376953,73.17250061035156,71.30500030517578,72.87999725341797,71.00202941894531,144114400
‘Project Connected Home’ to build secure compatible home gadgets,2019-12-29,0.34,1,72.36499786376953,73.17250061035156,71.30500030517578,72.87999725341797,71.00202941894531,144114400
‘Project Connected Home’ to build secure compatible home gadgets,2019-12-30,0.34,1,72.36499786376953,73.17250061035156,71.30500030517578,72.87999725341797,71.00202941894531,144114400
‘Project Connected Home’ to build secure compatible home gadgets,2019-12-31,0.34,1,72.48249816894531,73.41999816894531,72.37999725341797,73.4124984741211,71.52080535888672,100805600
‘Project Connected Home’ to build secure compatible home gadgets,2020-01-01,0.34,1,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15266418457031,135480400
Designer reaches licensing agreement three years after tech giant scrapped previous pact,2020-01-02,0.5267,1,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15266418457031,135480400
Designer reaches licensing agreement three years after tech giant scrapped previous pact,2020-01-03,0.5267,1,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145202636719,146322800
The main forces behind today’s must-have products are services and ecosystems,2020-01-04,0.0,0,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,73.01868438720703,118387200
The main forces behind today’s must-have products are services and ecosystems,2020-01-05,0.0,0,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,73.01868438720703,118387200
The main forces behind today’s must-have products are services and ecosystems,2020-01-06,0.0,0,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,73.01868438720703,118387200
The main forces behind today’s must-have products are services and ecosystems,2020-01-07,0.0,0,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.67527770996094,108872000
Test-driving the latest high-tech gadgets,2020-01-08,0.0,0,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.84434509277344,132079200
Request in terrorism probe threatens to reignite row with Apple over encryption,2020-01-09,-0.802,-1,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,75.41287994384766,170108400
A lack of transparency about facial recognition has fuelled distrust of the government,2020-01-10,-0.6249,-1,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,75.58335876464844,140644800
A lack of transparency about facial recognition has fuelled distrust of the government,2020-01-11,-0.6249,-1,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,77.19815826416016,121532000
A lack of transparency about facial recognition has fuelled distrust of the government,2020-01-12,-0.6249,-1,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,77.19815826416016,121532000
A lack of transparency about facial recognition has fuelled distrust of the government,2020-01-13,-0.6249,-1,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,77.19815826416016,121532000
